0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:02:42 -0500] "GET /carrito/img/bundesliga.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:02:42 -0500] "GET /carrito/img/ligue1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:02:44 -0500] "GET /carrito/verproductos.jsp?id=CAT004 HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:02:44 -0500] "GET /carrito/img/CAM00033.jpg HTTP/1.1" 200 111659
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:02:48 -0500] "GET /carrito/verproductos.jsp?id=CAT003 HTTP/1.1" 200 1221
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:02:48 -0500] "GET /carrito/img/CAM00017.jpg HTTP/1.1" 200 74286
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:02:48 -0500] "GET /carrito/img/CAM00018.jpg HTTP/1.1" 200 6900
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:02:48 -0500] "GET /carrito/img/CAM00019.jpg HTTP/1.1" 200 94049
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:02:48 -0500] "GET /carrito/img/CAM00020.jpg HTTP/1.1" 200 290257
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:02:54 -0500] "GET /carrito/verproductos.jsp?id=CAT005 HTTP/1.1" 200 687
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:02:54 -0500] "GET /carrito/img/CAM00041.jpg HTTP/1.1" 200 6477
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:02:57 -0500] "GET /carrito/index.jsp HTTP/1.1" 200 1585
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:03:00 -0500] "GET /carrito/index.jsp HTTP/1.1" 200 1585
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:03:03 -0500] "GET /carrito/verproductos.jsp?id=CAT003 HTTP/1.1" 200 1221
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:03:05 -0500] "GET /carrito/verdetalle.jsp?id=CAM00017 HTTP/1.1" 200 1153
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:03:11 -0500] "GET /carrito/carrito.jsp?txtid=CAM00017&txtcan=2 HTTP/1.1" 500 1191
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:03:11 -0500] "GET /carrito/img/CAM00001.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:03:14 -0500] "GET /carrito/carrito.jsp?txtid=CAM00017&txtcan=2 HTTP/1.1" 500 1192
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:06:12 -0500] "GET /carrito/index.jsp HTTP/1.1" 200 1585
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:06:12 -0500] "GET /carrito/img/liga1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:06:12 -0500] "GET /carrito/img/premiereleague.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:06:12 -0500] "GET /carrito/img/laliga.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:06:12 -0500] "GET /carrito/img/seriea.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:06:12 -0500] "GET /carrito/img/bundesliga.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:06:12 -0500] "GET /carrito/img/ligue1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:06:20 -0500] "GET /carrito/verproductos.jsp?id=CAT001 HTTP/1.1" 200 1587
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:06:20 -0500] "GET /carrito/img/CAM00001.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:06:20 -0500] "GET /carrito/img/CAM00002.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:06:20 -0500] "GET /carrito/img/CAM00003.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:06:20 -0500] "GET /carrito/img/CAM00005.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:06:20 -0500] "GET /carrito/img/CAM00004.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:06:20 -0500] "GET /carrito/img/CAM00006.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:10:23 -0500] "GET /carrito/index.jsp HTTP/1.1" 200 1585
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:10:23 -0500] "GET /carrito/img/premiereleague.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:10:23 -0500] "GET /carrito/img/liga1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:10:24 -0500] "GET /carrito/img/laliga.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:10:24 -0500] "GET /carrito/img/seriea.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:10:24 -0500] "GET /carrito/img/bundesliga.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:10:24 -0500] "GET /carrito/img/ligue1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:10:29 -0500] "GET /carrito/verproductos.jsp?id=CAT006 HTTP/1.1" 200 693
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:10:29 -0500] "GET /carrito/img/CAM00049.jpg HTTP/1.1" 200 189295
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:10:31 -0500] "GET /carrito/verdetalle.jsp?id=CAM00049 HTTP/1.1" 200 1160
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:10:43 -0500] "GET /carrito/carrito.jsp?txtid=CAM00049&txtcan=2 HTTP/1.1" 500 1402
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:10:43 -0500] "GET /carrito/img/CAM00001.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:10:43 -0500] "GET /carrito/img/CAM00017.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:10:52 -0500] "GET /carrito/cancelar.jsp HTTP/1.1" 404 677
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:10:55 -0500] "GET /carrito/index.jsp HTTP/1.1" 200 1585
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:10:57 -0500] "GET /carrito/verproductos.jsp?id=CAT004 HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:10:57 -0500] "GET /carrito/img/CAM00033.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:13:06 -0500] "GET /carrito/verdetalle.jsp?id=CAM00033 HTTP/1.1" 200 1155
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:13:06 -0500] "GET /carrito/img/CAM00033.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:13:09 -0500] "GET /carrito/carrito.jsp?txtid=CAM00033&txtcan= HTTP/1.1" 500 387
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:13:47 -0500] "GET /carrito/index.jsp HTTP/1.1" 200 1585
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:13:47 -0500] "GET /carrito/img/liga1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:13:47 -0500] "GET /carrito/img/premiereleague.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:13:47 -0500] "GET /carrito/img/laliga.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:13:47 -0500] "GET /carrito/img/seriea.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:13:47 -0500] "GET /carrito/img/bundesliga.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:13:47 -0500] "GET /carrito/img/ligue1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:16:02 -0500] "GET /carrito/verproductos.jsp?id=CAT002 HTTP/1.1" 200 1223
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:16:02 -0500] "GET /carrito/img/CAM00010.jpg HTTP/1.1" 200 18989
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:16:02 -0500] "GET /carrito/img/CAM00009.jpg HTTP/1.1" 200 292662
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:16:02 -0500] "GET /carrito/img/CAM00011.jpg HTTP/1.1" 200 247442
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:16:02 -0500] "GET /carrito/img/CAM00012.jpg HTTP/1.1" 200 229883
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:16:10 -0500] "GET /carrito/index.jsp HTTP/1.1" 200 1585
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:16:10 -0500] "GET /carrito/img/liga1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:16:10 -0500] "GET /carrito/img/premiereleague.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:16:10 -0500] "GET /carrito/img/laliga.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:16:10 -0500] "GET /carrito/img/seriea.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:16:10 -0500] "GET /carrito/img/bundesliga.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:16:10 -0500] "GET /carrito/img/ligue1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:18:41 -0500] "GET /carrito/index.jsp HTTP/1.1" 200 1614
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:18:41 -0500] "GET /carrito/img/premiereleague.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:18:41 -0500] "GET /carrito/img/liga1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:18:41 -0500] "GET /carrito/img/laliga.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:18:41 -0500] "GET /carrito/img/seriea.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:18:41 -0500] "GET /carrito/img/bundesliga.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:18:41 -0500] "GET /carrito/img/ligue1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:18:43 -0500] "GET /carrito/index.jsp HTTP/1.1" 200 1614
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:20:19 -0500] "GET /carrito/index.jsp HTTP/1.1" 200 1614
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:20:43 -0500] "GET /carrito/index.jsp HTTP/1.1" 200 1618
0:0:0:0:0:0:0:1 - - [15/Apr/2024:11:22:07 -0500] "GET /carrito/index.jsp HTTP/1.1" 200 1633
