127.0.0.1 - - [18/Apr/2024:11:02:31 -0500] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [18/Apr/2024:11:02:32 -0500] "GET /carrito/index.jsp HTTP/1.1" 200 1797
0:0:0:0:0:0:0:1 - - [18/Apr/2024:11:02:32 -0500] "GET /carrito/img/premiereleague.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2024:11:02:32 -0500] "GET /carrito/img/liga1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2024:11:02:33 -0500] "GET /carrito/img/laliga.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2024:11:02:33 -0500] "GET /carrito/img/seriea.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2024:11:02:33 -0500] "GET /carrito/img/ligue1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2024:11:02:33 -0500] "GET /carrito/img/bundesliga.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2024:11:02:33 -0500] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [18/Apr/2024:11:02:37 -0500] "GET /carrito/verproductos.jsp?id=CAT004 HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [18/Apr/2024:11:02:37 -0500] "GET /carrito/img/CAM00033.jpg HTTP/1.1" 200 111659
0:0:0:0:0:0:0:1 - - [18/Apr/2024:11:02:37 -0500] "GET /carrito/img/CAM00034.jpg HTTP/1.1" 404 719
0:0:0:0:0:0:0:1 - - [18/Apr/2024:11:02:37 -0500] "GET /carrito/img/CAM00035.jpg HTTP/1.1" 404 719
0:0:0:0:0:0:0:1 - - [18/Apr/2024:11:02:37 -0500] "GET /carrito/img/CAM00036.jpg HTTP/1.1" 404 719
0:0:0:0:0:0:0:1 - - [18/Apr/2024:11:02:45 -0500] "GET /carrito/verproductos.jsp?id=CAT005 HTTP/1.1" 200 1237
0:0:0:0:0:0:0:1 - - [18/Apr/2024:11:02:45 -0500] "GET /carrito/img/CAM00042.jpg HTTP/1.1" 404 719
0:0:0:0:0:0:0:1 - - [18/Apr/2024:11:02:45 -0500] "GET /carrito/img/CAM00041.jpg HTTP/1.1" 200 6477
0:0:0:0:0:0:0:1 - - [18/Apr/2024:11:02:45 -0500] "GET /carrito/img/CAM00044.jpg HTTP/1.1" 404 719
0:0:0:0:0:0:0:1 - - [18/Apr/2024:11:02:45 -0500] "GET /carrito/img/CAM00043.jpg HTTP/1.1" 404 719
0:0:0:0:0:0:0:1 - - [18/Apr/2024:11:02:57 -0500] "GET /carrito/verproductos.jsp?id=CAT006 HTTP/1.1" 200 693
0:0:0:0:0:0:0:1 - - [18/Apr/2024:11:02:58 -0500] "GET /carrito/img/CAM00049.jpg HTTP/1.1" 200 189295
0:0:0:0:0:0:0:1 - - [18/Apr/2024:11:03:00 -0500] "GET /carrito/verproductos.jsp?id=CAT004 HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [18/Apr/2024:11:03:00 -0500] "GET /carrito/img/CAM00034.jpg HTTP/1.1" 404 719
0:0:0:0:0:0:0:1 - - [18/Apr/2024:11:03:00 -0500] "GET /carrito/img/CAM00035.jpg HTTP/1.1" 404 719
0:0:0:0:0:0:0:1 - - [18/Apr/2024:11:03:00 -0500] "GET /carrito/img/CAM00036.jpg HTTP/1.1" 404 719
0:0:0:0:0:0:0:1 - - [18/Apr/2024:11:04:09 -0500] "GET /carrito/index.jsp HTTP/1.1" 200 1797
0:0:0:0:0:0:0:1 - - [18/Apr/2024:11:04:11 -0500] "GET /carrito/verproductos.jsp?id=CAT004 HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [18/Apr/2024:11:04:11 -0500] "GET /carrito/img/CAM00034.jpg HTTP/1.1" 200 5683
0:0:0:0:0:0:0:1 - - [18/Apr/2024:11:04:11 -0500] "GET /carrito/img/CAM00036.jpg HTTP/1.1" 200 82820
0:0:0:0:0:0:0:1 - - [18/Apr/2024:11:04:11 -0500] "GET /carrito/img/CAM00035.jpg HTTP/1.1" 200 378554
0:0:0:0:0:0:0:1 - - [18/Apr/2024:11:04:15 -0500] "GET /carrito/verproductos.jsp?id=CAT005 HTTP/1.1" 200 1237
0:0:0:0:0:0:0:1 - - [18/Apr/2024:11:04:15 -0500] "GET /carrito/img/CAM00042.jpg HTTP/1.1" 200 154456
0:0:0:0:0:0:0:1 - - [18/Apr/2024:11:04:15 -0500] "GET /carrito/img/CAM00044.jpg HTTP/1.1" 200 66065
0:0:0:0:0:0:0:1 - - [18/Apr/2024:11:04:15 -0500] "GET /carrito/img/CAM00043.jpg HTTP/1.1" 200 224493
